#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
   0.000  4206.00    64.85  1052.00    32.43   345.00    18.57    99.00     9.95
   1.280  4170.00    64.58  1046.00    32.34   295.00    17.18   126.00    11.22
   2.560  4174.00    64.61  1020.00    31.94   328.00    18.11   110.00    10.49
   3.840  4004.00    63.28   997.00    31.58   332.00    18.22   121.00    11.00
   5.120  3950.00    62.85  1021.00    31.95   306.00    17.49   128.00    11.31
   6.400  3877.00    62.27  1050.00    32.40   285.00    16.88   116.00    10.77
   7.680  3889.00    62.36   948.00    30.79   280.00    16.73    95.00     9.75
   8.960  3687.00    60.72   919.00    30.32   286.00    16.91    95.00     9.75
  10.240  3741.00    61.16   870.00    29.50   264.00    16.25   101.00    10.05
  11.520  3657.00    60.47   869.00    29.48   262.00    16.19    97.00     9.85
  12.800  3585.00    59.87   883.00    29.72   282.00    16.79    87.00     9.33
  14.080  3492.00    59.09   904.00    30.07   251.00    15.84    94.00     9.70
  15.360  3395.00    58.27   845.00    29.07   265.00    16.28    85.00     9.22
  16.640  3406.00    58.36   856.00    29.26   277.00    16.64    98.00     9.90
  17.920  3402.00    58.33   859.00    29.31   249.00    15.78    87.00     9.33
  19.200  3335.00    57.75   807.00    28.41   243.00    15.59    95.00     9.75
  20.480  3169.00    56.29   780.00    27.93   272.00    16.49    81.00     9.00
  21.760  3170.00    56.30   782.00    27.96   278.00    16.67    90.00     9.49
  23.040  3091.00    55.60   794.00    28.18   261.00    16.16    97.00     9.85
  24.320  3162.00    56.23   858.00    29.29   233.00    15.26    71.00     8.43
  25.600  3086.00    55.55   793.00    28.16   252.00    15.87    89.00     9.43
  26.880  3099.00    55.67   755.00    27.48   242.00    15.56    96.00     9.80
  28.160  2938.00    54.20   693.00    26.32   245.00    15.65    89.00     9.43
  29.440  2998.00    54.75   746.00    27.31   240.00    15.49    94.00     9.70
  30.720  2898.00    53.83   774.00    27.82   208.00    14.42    71.00     8.43
  32.000  2883.00    53.69   686.00    26.19   214.00    14.63    74.00     8.60
  33.280  2828.00    53.18   712.00    26.68   240.00    15.49    90.00     9.49
  34.560  2761.00    52.55   683.00    26.13   218.00    14.76    76.00     8.72
  35.840  2840.00    53.29   738.00    27.17   217.00    14.73    72.00     8.49
  37.120  2705.00    52.01   667.00    25.83   218.00    14.76    80.00     8.94
  38.400  2669.00    51.66   641.00    25.32   209.00    14.46    85.00     9.22
  39.680  2713.00    52.09   680.00    26.08   213.00    14.59    69.00     8.31
  40.960  2763.00    52.56   675.00    25.98   196.00    14.00    73.00     8.54
  42.240  2703.00    51.99   606.00    24.62   199.00    14.11    59.00     7.68
  43.520  2639.00    51.37   644.00    25.38   179.00    13.38    74.00     8.60
  44.800  2483.00    49.83   633.00    25.16   189.00    13.75    70.00     8.37
  46.080  2547.00    50.47   628.00    25.06   202.00    14.21    67.00     8.19
  47.360  2470.00    49.70   631.00    25.12   190.00    13.78    51.00     7.14
  48.640  2531.00    50.31   582.00    24.12   209.00    14.46    58.00     7.62
  49.920  2590.00    50.89   614.00    24.78   190.00    13.78    65.00     8.06
  51.200  2439.00    49.39   633.00    25.16   189.00    13.75    66.00     8.12
  52.480  2495.00    49.95   618.00    24.86   177.00    13.30    75.00     8.66
