#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
   0.000  2462.00    49.62   624.00    24.98   203.00    14.25    74.00     8.60
   0.807  2364.00    48.62   605.00    24.60   167.00    12.92    69.00     8.31
   1.613  2215.00    47.06   600.00    24.49   186.00    13.64    64.00     8.00
   2.420  2155.00    46.42   557.00    23.60   163.00    12.77    60.00     7.75
   3.227  2091.00    45.73   502.00    22.41   150.00    12.25    57.00     7.55
   4.033  1975.00    44.44   490.00    22.14   149.00    12.21    52.00     7.21
   4.840  1826.00    42.73   433.00    20.81   151.00    12.29    51.00     7.14
   5.647  1770.00    42.07   446.00    21.12   139.00    11.79    30.00     5.48
   6.453  1651.00    40.63   412.00    20.30   148.00    12.17    43.00     6.56
   7.260  1609.00    40.11   397.00    19.92   124.00    11.14    31.00     5.57
   8.067  1489.00    38.59   406.00    20.15   114.00    10.68    45.00     6.71
   8.873  1426.00    37.76   401.00    20.02   119.00    10.91    50.00     7.07
   9.680  1416.00    37.63   339.00    18.41   102.00    10.10    39.00     6.24
  10.487  1286.00    35.86   327.00    18.08   103.00    10.15    41.00     6.40
  11.293  1243.00    35.26   326.00    18.06   108.00    10.39    39.00     6.24
  12.100  1340.00    36.61   302.00    17.38   102.00    10.10    38.00     6.16
  12.907  1152.00    33.94   297.00    17.23    99.00     9.95    25.00     5.00
  13.713  1115.00    33.39   276.00    16.61    95.00     9.75    27.00     5.20
  14.520  1071.00    32.73   286.00    16.91    63.00     7.94    36.00     6.00
  15.327   999.00    31.61   286.00    16.91    79.00     8.89    31.00     5.57
  16.133   977.00    31.26   246.00    15.68    72.00     8.49    30.00     5.48
  16.940   911.00    30.18   210.00    14.49    63.00     7.94    22.00     4.69
  17.747   843.00    29.03   211.00    14.53    88.00     9.38    14.00     3.74
  18.553   814.00    28.53   211.00    14.53    56.00     7.48    27.00     5.20
  19.360   815.00    28.55   202.00    14.21    62.00     7.87    29.00     5.39
  20.167   850.00    29.15   173.00    13.15    61.00     7.81    25.00     5.00
  20.973   739.00    27.18   185.00    13.60    58.00     7.62    12.00     3.46
  21.780   697.00    26.40   156.00    12.49    63.00     7.94    22.00     4.69
  22.587   696.00    26.38   170.00    13.04    64.00     8.00    20.00     4.47
  23.393   647.00    25.44   169.00    13.00    46.00     6.78    32.00     5.66
  24.200   614.00    24.78   150.00    12.25    38.00     6.16    26.00     5.10
  25.007   577.00    24.02   144.00    12.00    51.00     7.14    21.00     4.58
  25.813   565.00    23.77   153.00    12.37    50.00     7.07    14.00     3.74
  26.620   494.00    22.23   108.00    10.39    39.00     6.24    11.00     3.32
  27.427   489.00    22.11   112.00    10.58    35.00     5.92    12.00     3.46
  28.233   475.00    21.79   134.00    11.58    36.00     6.00    15.00     3.87
  29.040   513.00    22.65   113.00    10.63    35.00     5.92    13.00     3.61
  29.847   429.00    20.71   113.00    10.63    45.00     6.71    11.00     3.32
  30.653   399.00    19.97    97.00     9.85    44.00     6.63    15.00     3.87
  31.460   376.00    19.39   104.00    10.20    21.00     4.58    11.00     3.32
  32.267   353.00    18.79    92.00     9.59    37.00     6.08     9.00     3.00
  33.073   353.00    18.79   102.00    10.10    34.00     5.83     7.00     2.65
  33.880   351.00    18.73    80.00     8.94    30.00     5.48     8.00     2.83
  34.687   339.00    18.41    86.00     9.27    27.00     5.20    14.00     3.74
  35.493   321.00    17.92    77.00     8.77    29.00     5.39    11.00     3.32
  36.300   304.00    17.44    69.00     8.31    19.00     4.36     7.00     2.65
  37.107   304.00    17.44    76.00     8.72    21.00     4.58     4.00     2.00
  37.913   280.00    16.73    48.00     6.93    26.00     5.10     8.00     2.83
